track_name,artist_name,album_name,popularity,duration_ms,release_date,duration_minutes
Kesariya,Arijit Singh,Brahmastra,90,245000,2022-09-09,4.083333333333333
Tum Hi Ho,Arijit Singh,Aashiqui 2,95,262000,2013-04-26,4.366666666666666
Blinding Lights,The Weeknd,After Hours,98,200040,2020-03-20,3.334
Shape of You,Ed Sheeran,Divide,97,233712,2017-01-06,3.8952
Levitating,Dua Lipa,Future Nostalgia,91,203000,2020-03-27,3.3833333333333333
Stay,The Kid LAROI,F*CK LOVE 3,92,141806,2021-07-09,2.3634333333333335
Perfect,Ed Sheeran,Divide,93,263400,2017-03-03,4.39
Believer,Imagine Dragons,Evolve,94,204346,2017-02-01,3.4057666666666666
Senorita,Shawn Mendes,Shawn Mendes,89,191000,2019-06-21,3.183333333333333
Dance Monkey,Tones and I,The Kids Are Coming,88,209438,2019-05-10,3.4906333333333333
Raabta,Arijit Singh,Agent Vinod,86,242000,2012-03-02,4.033333333333333
Apna Bana Le,Arijit Singh,Bhediya,87,230000,2022-11-25,3.8333333333333335
Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,92,289000,2016-10-28,4.816666666666666
Kalank Title Track,Arijit Singh,Kalank,84,312000,2019-04-17,5.2
Phir Le Aya Dil,Arijit Singh,Barfi,82,260000,2012-09-14,4.333333333333333
Sunflower,Post Malone,Hollywood's Bleeding,94,158040,2019-09-06,2.634
Rockstar,Post Malone,Beerbongs & Bentleys,93,218000,2018-04-27,3.6333333333333333
Happier,Marshmello,Joytime II,90,214000,2018-08-17,3.566666666666667
Faded,Alan Walker,Different World,91,212000,2015-12-03,3.533333333333333
Closer,The Chainsmokers,Collage,92,244960,2016-07-29,4.082666666666666
Bad Guy,Billie Eilish,When We All Fall Asleep,94,194000,2019-03-29,3.2333333333333334
Lovely,Billie Eilish,Dont Smile At Me,89,201000,2018-04-19,3.35
Peaches,Justin Bieber,Justice,88,198000,2021-03-19,3.3
Sorry,Justin Bieber,Purpose,90,200000,2015-10-23,3.3333333333333335
Love Yourself,Justin Bieber,Purpose,89,233000,2015-11-13,3.8833333333333333
Heat Waves,Glass Animals,Dreamland,92,238000,2020-06-29,3.966666666666667
Industry Baby,Lil Nas X,Montero,91,212000,2021-07-23,3.533333333333333
Old Town Road,Lil Nas X,7 EP,93,157000,2019-03-14,2.6166666666666667
Montero,Lil Nas X,Montero,90,137000,2021-03-26,2.283333333333333
Circles,Post Malone,Hollywood's Bleeding,94,215000,2019-08-30,3.5833333333333335
Shivers,Ed Sheeran,Equals,90,207000,2021-09-10,3.45
Bad Habits,Ed Sheeran,Equals,91,231000,2021-06-25,3.85
Thinking Out Loud,Ed Sheeran,Multiply,92,281000,2014-06-20,4.683333333333334
Photograph,Ed Sheeran,Multiply,88,258000,2014-06-20,4.3
Galway Girl,Ed Sheeran,Divide,87,170000,2017-03-03,2.8333333333333335
Attention,Charlie Puth,Voicenotes,89,208000,2018-05-11,3.466666666666667
See You Again,Wiz Khalifa,Furious 7,93,229000,2015-03-10,3.816666666666667
Counting Stars,OneRepublic,Native,90,257000,2013-06-14,4.283333333333333
Apologize,OneRepublic,Dreaming Out Loud,85,208000,2007-11-20,3.466666666666667
Secrets,OneRepublic,Waking Up,86,224000,2009-11-17,3.7333333333333334
Viva La Vida,Coldplay,Viva La Vida,91,242000,2008-05-25,4.033333333333333
Paradise,Coldplay,Mylo Xyloto,90,278000,2011-10-24,4.633333333333334
Yellow,Coldplay,Parachutes,88,269000,2000-07-10,4.483333333333333
Hymn For The Weekend,Coldplay,A Head Full of Dreams,89,258000,2016-01-25,4.3
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,87,263000,2015-11-06,4.383333333333334
Let Her Go,Passenger,All the Little Lights,90,252000,2012-02-24,4.2
Riptide,Vance Joy,Dream Your Life Away,88,204000,2013-03-22,3.4
Ho Hey,The Lumineers,The Lumineers,85,163000,2012-04-03,2.716666666666667
Take Me To Church,Hozier,Hozier,92,241000,2013-09-13,4.016666666666667
Someone You Loved,Lewis Capaldi,Divinely Uninspired,94,182000,2018-11-08,3.033333333333333
